idx,title,company,location,time_ago,horari,salary_min_raw,salary_max_raw,job_type,experience,salario_min_anual,salario_max_anual,salario_medio_anual,is_data,is_it_software,is_tech,region,location_normalized,gdp_per_capita,total_remote_jobs,remote_share,premium_salarial_regional,role_category,experience_level,comunidad_autonoma,salario_bruto_anual_est,ine_tech_avg_2024,regional_multiplier,poblacion_ccaa_2026
177,Data Analyst- Finance,TravelPerk,"Barcelona, Cataluña, España",hace 5 meses,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
178,BI Designer and Data Visualization,HP,"Sant Cugat del Vallès, Cataluña, España",hace 1 mes,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"sant cugat del vallès, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
179,"Business Intelligence Engineer,EMEA GES",Amazon,"Barcelona, Cataluña, España",hace 2 días,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
180,Junior Data Scraping Engineer (Python),Flanks,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
181,Data Engineer BI,Michael Page,"Barcelona, Cataluña, España",hace 4 meses,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
182,Business Intelligence Consultant,Mur&Partners,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
183,Business Intelligence Analyst (Senior),Thunes,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
184,Business Intelligence Engineer,Amazon,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
185,Analista de datos ELK,Alisys,España,hace 3 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,False,False,False,,españa,,,,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
186,Business Intelligence Consultant,Mur&Partners,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
187,BI Consultant,,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
188,Data Engineer,Page Personnel,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
189,Junior Data Scientist - Python,Between Technology,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Junior,Cataluna,32223.0,42741.94,1.0741,8208894
190,IT | Data Analyst | Cataluña,ALTEN,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
191,Data Engineer Junior - BI,Kiteris,"Barcelona, Cataluña, España",hace 3 meses,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Junior,Cataluna,33297.1,42741.94,1.0741,8208894
192,Data Engineer BI,Michael Page,"Barcelona, Cataluña, España",hace 5 meses,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
193,BI Data Analyst (M/F),Madbox,"Barcelona, Cataluña, España",hace 7 meses,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
194,Data Analyst,Applus+ Laboratories,"Cerdanyola del Vallès, Cataluña, España",hace 3 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"cerdanyola del vallès, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
195,Data Analyst - Qcommerce - Partner Operations,Glovo,"Barcelona, Cataluña, España",hace 4 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
196,Business Data Analyst for Tax Engine,Amazon,"Barcelona, Cataluña, España",hace 2 días,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
197,Marketing Data Analyst,CloudBlue,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
198,Data Engineer - BI (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
199,Business Data Analyst for Tax Engine,Amazon,"Barcelona, Cataluña, España",hace 2 días,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
200,Senior Product Data Analyst,BLING,"Barcelona, Cataluña, España",hace 2 días,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
201,BI Specialist,JLL,"Vic, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"vic, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
202,Data Analyst,Housfy,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
203,"Senior Data Analyst,Vendor Analytics – Digital Markets",Gartner,"Barcelona, Cataluña, España",hace 6 horas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
204,Data Engineer,BLING,"Barcelona, Cataluña, España",hace 2 días,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
205,Data Engineer - BI (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
206,Data Analyst,Q-tech,Barcelona y alrededores,hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,barcelona y alrededores,28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
207,Data & Analytics products and Services (DAPS) Internal Communications Intern,Nestlé,"Esplugues de Llobregat, Cataluña, España",hace 3 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"esplugues de llobregat, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
208,"Data Engineer,EU Workforce Staffing",Amazon,"Barcelona, Cataluña, España",hace 5 horas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Senior,Cataluna,69816.5,42741.94,1.0741,8208894
209,Data Engineer,GfK,Barcelona y alrededores,hace 3 horas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,barcelona y alrededores,28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
210,Senior Data Analyst,Senior Data Analyst,"Mobile, Brainly, España",hace 3 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,,"mobile, brainly, españa",,,,,data_analyst,Senior,Total Nacional,49000.0,42741.94,1.0,49570725
211,Business Intelligence Engineer,Amazon,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
212,"Data Analyst,Marketplace",OnFrontiers,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
213,Senior Business Intelligence & Insights Analyst,Veriff,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
214,Data Engineer,Pronovias,Barcelona y alrededores,hace 4 horas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,barcelona y alrededores,28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
215,Senior Data Analyst/Scientist,Domestika,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
216,Data Engineer,Michael Page,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
217,Senior Data Analyst,Senior Data Analyst,"Growth, Brainly, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,,"growth, brainly, españa",,,,,data_analyst,Senior,Total Nacional,49000.0,42741.94,1.0,49570725
218,Data Analyst - Qcommerce - Partner Operations,Glovo,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
219,CONSULTOR BI,SETESCA,"Barcelona, Cataluña, España",hace 1 hora,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
220,Big Data engineer,GMV,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
221,Data Engineer,INNOCV Solutions,España,hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,,españa,,,,,data_engineer,Mid,Total Nacional,43500.0,42741.94,1.0,49570725
222,Junior Big Data Developer (Tech Support) - Google Cloud Platform,Webhelp,Barcelona y alrededores,hace 1 hora,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,barcelona y alrededores,28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
223,Senior Intelligence Analyst (Remote),CrowdStrike,"Barcelona, Cataluña, España",hace 5 horas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Senior,Cataluna,51556.8,42741.94,1.0741,8208894
225,Senior Data Analyst,Adevinta,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
226,Data Engineer,Toptal,"Sabadell, Cataluña, España",hace 6 horas,Contrato por obra · Intermedio,,,Contrato por obra,Intermedio,,,,True,True,True,Catalonia,"sabadell, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Total Nacional,43500.0,42741.94,1.0,49570725
227,Data Engineer (Returnly),Affirm,España,hace 1 día,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,,españa,,,,,data_engineer,Mid,Total Nacional,43500.0,42741.94,1.0,49570725
228,Consultor/a Analytics Qlik Sense,NUNSYS,España,hace 4 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,,españa,,,,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
229,Data Analyst,Wallapop,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
230,Data Migration Analyst,Accenture España,"Sant Cugat del Vallès, Cataluña, España",hace 1 día,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"sant cugat del vallès, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
231,Master Data Analyst,Page Personnel,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
232,Data Analyst,Goin,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
233,Power BI Consultant (I&D),Capgemini,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
234,Data Analyst/Web Analyst (M/F),Wipro,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
235,Junior Data Analyst,NTT DATA Business Solutions Spain,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
236,,International BI/BA Analyst (H/M),España,hace 1 día,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,False,False,False,,españa,,,,,backend,Mid,Total Nacional,35500.0,42741.94,1.0,49570725
237,Data Science,Accenture España,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
238,Data Analyst,Product Madness 📱🎮,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
239,Data Engineer (P.A-0104),M Digital Partner,"Barcelona, Cataluña, España",hace 4 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
240,Junior Data Scientist,Allianz Technology,"Barcelona, Cataluña, España",hace 3 días,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Junior,Cataluna,32223.0,42741.94,1.0741,8208894
241,Data Engineer,Kiteris,"Barcelona, Cataluña, España",hace 5 meses,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
242,Business Intelligence Developer / Analyst (f/m/d).,wefox,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
243,Business Intelligence Specialist,Tech Data,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
244,Senior Product Data Analyst - Experimentation,Kiwi.com,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
245,Data Analyst / BI Developer,Knossos Consulting,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
246,Ingeniero/a Big Data,open3s,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
247,Google Professional Data Engineer,Accenture España,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
248,Web Analyst - Adobe Analytics,Tech Data,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
249,Data Engineer,The Cocktail,España,hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,True,True,,españa,,,,,data_engineer,Mid,Total Nacional,43500.0,42741.94,1.0,49570725
